Lifetime,Diet
105,1
193,1
211,1
236,1
302,1
363,1
389,1
390,1
391,1
403,1
530,1
604,1
605,1
630,1
716,1
718,1
727,1
731,1
749,1
769,1
770,1
789,1
804,1
810,1
811,1
833,1
868,1
871,1
875,1
893,1
897,1
901,1
906,1
907,1
919,1
923,1
931,1
940,1
957,1
958,1
961,1
962,1
974,1
979,1
982,1
1001,1
1008,1
1010,1
1011,1
1012,1
1014,1
1017,1
1032,1
1039,1
1045,1
1046,1
1047,1
1057,1
1063,1
1070,1
1073,1
1076,1
1085,1
1090,1
1094,1
1099,1
1107,1
1119,1
1120,1
1128,1
1129,1
1131,1
1133,1
1136,1
1138,1
1144,1
1149,1
1160,1
1166,1
1170,1
1173,1
1181,1
1183,1
1188,1
1190,1
1203,1
1206,1
1209,1
1218,1
1220,1
1221,1
1228,1
1230,1
1231,1
1233,1
1239,1
1244,1
1258,1
1268,1
1294,1
1316,1
1327,1
1328,1
1369,1
1393,1
1435,1
89,2
104,2
387,2
465,2
479,2
494,2
496,2
514,2
532,2
536,2
545,2
547,2
548,2
582,2
606,2
609,2
619,2
620,2
621,2
630,2
635,2
639,2
648,2
652,2
653,2
654,2
660,2
665,2
667,2
668,2
670,2
675,2
677,2
678,2
678,2
681,2
684,2
688,2
694,2
695,2
697,2
698,2
702,2
704,2
710,2
711,2
712,2
715,2
716,2
717,2
720,2
721,2
730,2
731,2
732,2
733,2
735,2
736,2
738,2
739,2
741,2
743,2
746,2
749,2
751,2
753,2
764,2
765,2
768,2
770,2
773,2
777,2
779,2
780,2
788,2
791,2
794,2
796,2
799,2
801,2
806,2
807,2
815,2
836,2
838,2
850,2
859,2
894,2
963,2
